epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2334.28,0.30496,0.25742,0.88068,0.62247,0.625,0.51287,0.26602,1.99375,2.41245,2.44749,0.000429253,0.000429253,0.000429253
77,2364.79,0.3082,0.25562,0.86781,0.62247,0.625,0.51287,0.26602,1.99375,2.41245,2.44749,0.000412749,0.000412749,0.000412749
78,2395.52,0.30586,0.25526,0.88856,0.58111,0.525,0.4832,0.24884,1.91961,2.66196,2.38474,0.000396246,0.000396246,0.000396246
79,2426.09,0.29992,0.25769,0.85899,0.49562,0.375,0.43597,0.24723,1.87927,2.85137,2.33331,0.000379743,0.000379743,0.000379743
80,2456.69,0.30336,0.2512,0.87439,0.39184,0.2719,0.431,0.25742,1.88388,3.01048,2.31456,0.000363239,0.000363239,0.000363239
81,2487.22,0.30351,0.25656,0.86888,0.39184,0.2719,0.431,0.25742,1.88388,3.01048,2.31456,0.000346736,0.000346736,0.000346736
82,2517.82,0.30596,0.25641,0.85898,0.39464,0.28125,0.41211,0.2613,1.82289,3.14117,2.30403,0.000330233,0.000330233,0.000330233
83,2548.35,0.30029,0.25729,0.87483,0.40273,0.275,0.39087,0.26236,1.81248,3.22983,2.31607,0.000313729,0.000313729,0.000313729
84,2578.93,0.30882,0.24243,0.89288,0.47207,0.28292,0.38467,0.26932,1.81785,3.22949,2.37102,0.000297226,0.000297226,0.000297226
85,2609.38,0.28846,0.24134,0.88429,0.47207,0.28292,0.38467,0.26932,1.81785,3.22949,2.37102,0.000280723,0.000280723,0.000280723
86,2640.14,0.30223,0.24013,0.86685,0.51826,0.29477,0.39074,0.27323,1.78995,3.13729,2.37011,0.00026422,0.00026422,0.00026422
87,2670.72,0.30818,0.23753,0.86104,0.51803,0.29662,0.39625,0.2834,1.77083,3.09715,2.37174,0.000247716,0.000247716,0.000247716
88,2701.33,0.2971,0.24394,0.85962,0.4797,0.35,0.42527,0.29908,1.66994,2.96282,2.28714,0.000231213,0.000231213,0.000231213
89,2732.07,0.29437,0.22084,0.85708,0.4797,0.35,0.42527,0.29908,1.66994,2.96282,2.28714,0.00021471,0.00021471,0.00021471
90,2762.7,0.26784,0.23709,0.86714,0.50382,0.41111,0.46802,0.31874,1.5799,2.93742,2.21111,0.000198206,0.000198206,0.000198206
91,2793.23,0.23454,0.2378,0.81817,0.53477,0.46076,0.50629,0.34033,1.55266,2.82868,2.14712,0.000181703,0.000181703,0.000181703
92,2823.85,0.23506,0.20964,0.8284,0.6462,0.55752,0.52253,0.32326,1.50249,2.68165,2.04034,0.0001652,0.0001652,0.0001652
93,2854.33,0.24116,0.20795,0.82586,0.6462,0.55752,0.52253,0.32326,1.50249,2.68165,2.04034,0.000148696,0.000148696,0.000148696
94,2884.83,0.23893,0.21332,0.82896,0.67291,0.54878,0.59468,0.35395,1.5177,2.5422,2.00312,0.000132193,0.000132193,0.000132193
95,2915.34,0.23187,0.19912,0.81072,0.6811,0.57357,0.63153,0.37434,1.50449,2.46967,1.97317,0.00011569,0.00011569,0.00011569
96,2945.96,0.22836,0.18781,0.80237,0.69468,0.58556,0.63752,0.38294,1.52043,2.43971,1.97274,9.91865e-05,9.91865e-05,9.91865e-05
97,2976.37,0.22391,0.19412,0.81914,0.69468,0.58556,0.63752,0.38294,1.52043,2.43971,1.97274,8.26832e-05,8.26832e-05,8.26832e-05
98,3006.9,0.22914,0.18797,0.82349,0.69573,0.59089,0.63824,0.38018,1.51398,2.40477,1.96165,6.61799e-05,6.61799e-05,6.61799e-05
99,3037.3,0.21704,0.18795,0.82745,0.69957,0.59087,0.62929,0.37135,1.50511,2.38437,1.95702,4.96766e-05,4.96766e-05,4.96766e-05
100,3067.93,0.2261,0.19035,0.82414,0.68264,0.56913,0.63245,0.37069,1.49441,2.38424,1.94466,3.31733e-05,3.31733e-05,3.31733e-05
